id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,67377,136,205,720,170,252.078125,370.125,1.0320144891738892,0.9609375,0,0,1241,376
1,23029,395,0,255,166,639.890625,76.375,1.0157177448272705,0.9865763187408447,0,0,1241,376
2,18204,0,214,240,121,19.390625,311.375,1.007379174232483,0.9801948070526123,0,0,1241,376
3,114844,737,0,503,320,1182.828125,41.125,1.004886507987976,0.9810290932655334,0,0,1241,376
4,24825,137,0,282,202,290.859375,41.125,1.0044455528259277,0.9713491201400757,0,0,1241,376
5,1146,252,248,40,33,252.078125,264.375,1.0032689571380615,0.9870242476463318,0,0,1241,376
6,2111,59,291,58,45,58.171875,311.375,0.9958426356315613,0.9821176528930664,0,0,1241,376
7,3667,1125,38,39,101,1144.046875,52.875,0.9944285750389099,0.9864314794540405,0,0,1241,376
8,23533,812,269,368,106,911.359375,311.375,0.9931025505065918,0.9792569279670715,0,0,1241,376
9,10981,325,41,152,148,407.203125,135.125,0.9891774654388428,0.9773013591766357,0,0,1241,376
10,12999,918,0,117,285,950.140625,88.125,0.9873005151748657,0.9815379977226257,0,0,1241,376
11,7245,205,203,154,77,252.078125,240.875,0.9852354526519775,0.9452769756317139,0,0,1241,376
12,16183,627,0,149,219,717.453125,146.875,0.9828760623931885,0.9679440259933472,0,0,1241,376
13,1096,120,129,53,24,174.515625,146.875,0.9814427495002747,0.9792606234550476,0,0,1241,376
14,2567,1085,51,30,91,1105.265625,88.125,0.980700671672821,0.9864498376846313,0,0,1241,376
15,1110,869,0,29,42,872.578125,41.125,0.9789972901344299,0.9883093237876892,0,0,1241,376
16,6311,79,205,171,97,174.515625,217.375,0.978065550327301,0.9506629705429077,0,0,1241,376
17,34591,739,0,179,245,872.578125,182.125,0.9761645793914795,0.966943085193634,0,0,1241,376
18,2738,665,173,60,54,678.671875,182.125,0.9760082960128784,0.9726027250289917,0,0,1241,376
19,1140,1098,252,37,33,1105.265625,264.375,0.9734398126602173,0.9869451522827148,0,0,1241,376
20,876,184,207,51,24,213.296875,217.375,0.9733142256736755,0.9898189902305603,0,0,1241,376
21,1047,0,127,21,48,19.390625,170.375,0.9723170399665833,0.9801324605941772,0,0,1241,376
22,43091,0,0,314,216,58.171875,76.375,0.9700957536697388,0.9675807356834412,0,0,1241,376
23,374,186,236,28,18,213.296875,252.625,0.9648951888084412,0.9919999837875366,0,0,1241,376
24,2266,120,130,52,46,135.734375,135.125,0.964324951171875,0.9781659245491028,0,0,1241,376
25,9282,1080,31,85,122,1144.046875,41.125,0.9621914625167847,0.9469752907752991,0,0,1241,376
26,1041,1220,258,18,63,1221.609375,276.125,0.9607614874839783,0.9781160950660706,0,0,1241,376
27,7086,1022,291,159,84,1027.703125,311.375,0.95970618724823,0.955454409122467,0,0,1241,376
28,636,0,0,23,31,19.390625,5.875,0.9587349891662598,0.9812792539596558,0,0,1241,376
29,2986,1213,0,14,256,1221.609375,229.125,0.9567775130271912,0.9817517995834351,0,0,1241,376
30,12237,918,217,322,100,1144.046875,287.875,0.9555891156196594,0.9333333373069763,0,0,1241,376
31,1214,692,218,76,21,717.453125,229.125,0.9554838538169861,0.9730831980705261,0,0,1241,376
32,251,313,227,22,15,329.640625,229.125,0.9547187089920044,0.9803149700164795,0,0,1241,376
33,1351,918,217,39,38,950.140625,229.125,0.954436719417572,0.9852941036224365,0,0,1241,376
34,750,681,174,42,19,717.453125,182.125,0.9539567828178406,0.9842105507850647,0,0,1241,376
35,419,409,219,25,20,407.203125,229.125,0.9535366296768188,0.9489558935165405,0,0,1241,376
36,3544,359,188,94,51,445.984375,217.375,0.9533824920654297,0.9694019556045532,0,0,1241,376
37,12389,918,93,322,224,1182.828125,299.625,0.9531516432762146,0.9365899562835693,0,0,1241,376
